duration,protocol,service,src_bytes,dst_bytes,label
0,tcp,ftp_data,491,0,0
0,udp,other,146,0,0
0,tcp,private,0,0,1
0,tcp,http,232,8153,0
0,tcp,http,199,420,0
0,tcp,private,0,0,1
0,tcp,private,0,0,1
0,tcp,private,0,0,1
0,tcp,remote_job,0,0,1
0,tcp,private,0,0,1
0,tcp,private,0,0,1
0,tcp,private,0,0,1
0,tcp,http,287,2251,0
0,tcp,ftp_data,334,0,1
0,tcp,name,0,0,1
0,tcp,netbios_ns,0,0,1
0,tcp,http,300,13788,0
0,icmp,eco_i,18,0,1
0,tcp,http,233,616,0
0,tcp,http,343,1178,0
0,tcp,mtp,0,0,1
0,tcp,private,0,0,1
0,tcp,http,253,11905,0
5607,udp,other,147,105,0
0,tcp,mtp,0,0,1
507,tcp,telnet,437,14421,0
0,tcp,private,0,0,1
0,tcp,http,227,6588,0
0,tcp,http,215,10499,0
0,tcp,http,241,1400,0
0,icmp,eco_i,8,0,1
0,tcp,finger,0,0,1
0,tcp,http,303,555,0
0,tcp,private,0,0,1
0,udp,domain_u,45,45,0
1,udp,private,105,147,0
0,udp,domain_u,43,43,0
0,tcp,supdup,0,0,1
0,tcp,http,324,2302,0
0,tcp,uucp_path,0,0,1
0,tcp,ftp_data,0,0,1
0,tcp,Z39_50,0,0,1
2,tcp,smtp,1591,372,0
9052,udp,other,146,105,0
0,tcp,http,290,3006,0
0,tcp,csnet_ns,0,0,1
0,udp,private,28,0,1
0,tcp,http,255,861,0
0,tcp,ftp_data,334,0,1
0,tcp,ftp_data,0,0,1
0,tcp,http,302,498,0
0,tcp,private,0,0,1
0,udp,private,28,0,1
0,tcp,http,220,1398,0
0,udp,domain_u,43,69,0
0,udp,domain_u,44,133,0
0,icmp,eco_i,8,0,1
0,tcp,uucp,0,0,1
0,tcp,finger,0,0,1
0,udp,domain_u,43,43,0
0,tcp,ftp_data,641,0,0
0,tcp,private,0,0,1
0,tcp,private,0,0,1
0,tcp,http,310,2794,0
0,tcp,private,0,0,1
0,tcp,smtp,696,333,0
0,tcp,netbios_dgm,0,0,1
0,tcp,http,0,0,1
0,tcp,netbios_dgm,0,0,1
0,tcp,supdup,0,0,1
0,tcp,http,221,2878,0
0,tcp,private,0,0,1
0,icmp,urp_i,181,0,0
0,udp,domain_u,42,42,0
0,tcp,private,0,0,1
0,tcp,ftp_data,12,0,0
0,tcp,auth,0,0,1
0,tcp,http,210,2790,0
0,tcp,http,321,5683,0
0,tcp,private,0,0,1
0,tcp,http,329,3982,0
0,tcp,uucp_path,0,0,1
0,tcp,domain,0,0,1
0,icmp,eco_i,8,0,1
0,tcp,http,320,379,0
0,tcp,private,0,0,1
0,tcp,http,225,3762,0
0,tcp,ftp,0,0,1
0,tcp,private,0,0,1
315,udp,other,146,105,0
0,tcp,http,247,1416,0
0,tcp,http,353,1483,0
0,udp,domain_u,44,44,0
0,tcp,private,0,0,1
0,tcp,csnet_ns,0,0,1
2,tcp,smtp,3065,331,0
0,udp,other,102,102,0
0,tcp,http,259,750,0
1082,udp,other,147,105,0
0,tcp,private,0,0,1
0,tcp,http,0,354,0
0,tcp,http,309,306,0
0,tcp,http,0,0,0
0,tcp,http,278,7227,0
0,udp,private,28,0,1
0,tcp,http,313,761,0
0,tcp,http,219,1212,0
0,tcp,http,245,9165,0
0,tcp,http,328,2243,0
0,tcp,http,0,0,0
0,tcp,http,251,301,0
0,tcp,smtp,2089,335,0
0,tcp,http,0,0,0
0,tcp,http,237,511,0
0,tcp,http,324,431,0
25950,tcp,private,1,0,1
0,tcp,Z39_50,0,0,1
0,udp,private,105,145,0
0,tcp,http,218,974,0
0,tcp,http,325,2649,0
0,tcp,uucp_path,0,0,1
0,tcp,bgp,0,0,1
0,tcp,csnet_ns,0,0,1
240,tcp,http,328,275,0
0,tcp,bgp,0,0,1
0,tcp,finger,9,138,0
0,udp,domain_u,46,46,0
1,tcp,smtp,1079,334,0
0,udp,domain_u,45,139,0
26,tcp,ftp,273,903,0
0,tcp,private,0,0,1
